#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Streptococcus	Unknown	SMRU806	NZ_CRLX01000003.1	0	21693	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRLX01000003.1&start=0&end=21693
Streptococcus	Unknown	SMRU806	NZ_CRLX01000007.1	51288	62521	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRLX01000007.1&start=51288&end=62521
Streptococcus	Unknown	SMRU806	NZ_CRLX01000009.1	36363	46660	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRLX01000009.1&start=36363&end=46660
Streptococcus	Unknown	SMRU806	NZ_CRLX01000016.1	4471	17580	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRLX01000016.1&start=4471&end=17580
Streptococcus	Unknown	SMRU806	NZ_CRLX01000028.1	0	9927	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRLX01000028.1&start=0&end=9927
Streptococcus	Unknown	SMRU806	NZ_CRLX01000045.1	0	6120	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRLX01000045.1&start=0&end=6120
Streptococcus	Unknown	SMRU702	NZ_CRAW01000001.1	82140	92440	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRAW01000001.1&start=82140&end=92440
Streptococcus	Unknown	SMRU702	NZ_CRAW01000002.1	0	21709	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRAW01000002.1&start=0&end=21709
Streptococcus	Unknown	SMRU702	NZ_CRAW01000003.1	32257	46870	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRAW01000003.1&start=32257&end=46870
Streptococcus	Unknown	SMRU702	NZ_CRAW01000006.1	5053	28044	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRAW01000006.1&start=5053&end=28044
Streptococcus	Unknown	SMRU702	NZ_CRAW01000040.1	0	4203	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRAW01000040.1&start=0&end=4203
Streptococcus	Unknown	HMSC065E03	NZ_KV818852.1	340446	381619	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV818852.1&start=340446&end=381619
Streptococcus	Unknown	HMSC065E03	NZ_KV818853.1	0	20880	ras-ripp	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV818853.1&start=0&end=20880
Streptococcus	Unknown	HMSC072D05	NZ_KV822011.1	8578	20732	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV822011.1&start=8578&end=20732
Streptococcus	Unknown	HMSC072D05	NZ_KV822018.1	30682	71855	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV822018.1&start=30682&end=71855
Streptococcus	Unknown	ATCC 27945	NZ_CP015282.1	950865	992032	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP015282.1&start=950865&end=992032
Streptococcus	Unknown	ATCC 27945	NZ_CP015282.1	1258855	1270952	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP015282.1&start=1258855&end=1270952
Streptococcus	Unknown	ATCC 27945	NZ_CP015282.1	1832649	1842883	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP015282.1&start=1832649&end=1842883
Streptococcus	oralis	OD_348934_12	NZ_NCUC01000014.1	252963	294136	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUC01000014.1&start=252963&end=294136
Streptococcus	oralis	OD_348934_12	NZ_NCUC01000014.1	604816	615101	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUC01000014.1&start=604816&end=615101
Streptococcus	oralis	OD_348934_12	NZ_NCUC01000009.1	78218	88515	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUC01000009.1&start=78218&end=88515
Streptococcus	oralis	OD_348934_12	NZ_NCUC01000010.1	10783	22937	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUC01000010.1&start=10783&end=22937
Streptococcus	oralis	Y_5914_11	NZ_NCUW01000030.1	576680	599635	lanthipeptide-class-ii	false	thermophilin 1277	20	BGC0000561	https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUW01000030.1&start=576680&end=599635
Streptococcus	oralis	Y_5914_11	NZ_NCUW01000024.1	29421	43944	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUW01000024.1&start=29421&end=43944
Streptococcus	oralis	Y_5914_11	NZ_NCUW01000019.1	0	7365	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUW01000019.1&start=0&end=7365
Streptococcus	oralis	Y_5914_11	NZ_NCUW01000020.1	0	4605	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUW01000020.1&start=0&end=4605
Streptococcus	oralis	Y_5914_11	NZ_NCUW01000029.1	158888	171042	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUW01000029.1&start=158888&end=171042
Streptococcus	oralis	Y_5914_11	NZ_NCUW01000026.1	146990	188163	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUW01000026.1&start=146990&end=188163
Streptococcus	oralis	RH_50443_09	NZ_NCUL01000008.1	197563	238736	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUL01000008.1&start=197563&end=238736
Streptococcus	oralis	RH_50443_09	NZ_NCUL01000005.1	9620	21774	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUL01000005.1&start=9620&end=21774
Streptococcus	oralis	RH_50443_09	NZ_NCUL01000003.1	8864	31175	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NCUL01000003.1&start=8864&end=31175
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000028.1	0	4465	ras-ripp rre-containing hybrid	true	tryglysin B	80	BGC0002583	https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000028.1&start=0&end=4465
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000019.1	45280	56045	butyrolactone	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000019.1&start=45280&end=56045
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000017.1	90752	100983	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000017.1&start=90752&end=100983
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000011.1	0	23090	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000011.1&start=0&end=23090
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000016.1	73773	87338	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000016.1&start=73773&end=87338
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000004.1	41822	82998	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000004.1&start=41822&end=82998
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000005.1	0	59156	nrps transat-pks hybrid	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000005.1&start=0&end=59156
Streptococcus	Unknown	PKUSS-7	NZ_NBFG01000006.1	203863	228097	lanthipeptide-class-i	false	mutacin III	100	BGC0000533	https://antismash-db.secondarymetabolites.org/area?record=NZ_NBFG01000006.1&start=203863&end=228097
Streptococcus	Unknown	HN105	NZ_CP029398.1	521156	562311	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP029398.1&start=521156&end=562311
Streptococcus	Unknown	HN105	NZ_CP029398.1	1011468	1034249	lanthipeptide-class-ii	false	macedocin	78	BGC0000526	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP029398.1&start=1011468&end=1034249
Streptococcus	Unknown	HN105	NZ_CP029398.1	1741130	1763526	ras-ripp	false	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP029398.1&start=1741130&end=1763526
Streptococcus	Unknown	HN105	NZ_CP029398.1	1899353	1909602	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP029398.1&start=1899353&end=1909602
Streptococcus	Unknown	HN105	NZ_CP029398.1	2042882	2053167	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP029398.1&start=2042882&end=2053167
Streptococcus	Unknown	HN105	NZ_CP029399.1	8294	20445	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP029399.1&start=8294&end=20445
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000001.1	4767	25901	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000001.1&start=4767&end=25901
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000001.1	54481	75129	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000001.1&start=54481&end=75129
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000001.1	128999	150112	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000001.1&start=128999&end=150112
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000001.1	202931	218550	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000001.1&start=202931&end=218550
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000025.1	0	27639	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000025.1&start=0&end=27639
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000002.1	32340	54523	lap	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000002.1&start=32340&end=54523
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000005.1	44029	54329	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000005.1&start=44029&end=54329
Streptococcus	Unknown	CCUG 72019	NZ_RXXL01000007.1	40013	61526	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_RXXL01000007.1&start=40013&end=61526
Streptococcus	Unknown	S36	NZ_JALDUO010000001.1	239933	281112	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUO010000001.1&start=239933&end=281112
Streptococcus	Unknown	S36	NZ_JALDUO010000006.1	118019	130173	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUO010000006.1&start=118019&end=130173
Streptococcus	Unknown	64D32289	NZ_FIXE01000013.1	17093	27960	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000013.1&start=17093&end=27960
Streptococcus	Unknown	64D32289	NZ_FIXE01000025.1	12406	32036	lanthipeptide-class-i	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000025.1&start=12406&end=32036
Streptococcus	Unknown	64D32289	NZ_FIXE01000026.1	24724	31936	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000026.1&start=24724&end=31936
Streptococcus	Unknown	64D32289	NZ_FIXE01000027.1	10113	31759	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000027.1&start=10113&end=31759
Streptococcus	Unknown	64D32289	NZ_FIXE01000042.1	0	8264	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000042.1&start=0&end=8264
Streptococcus	Unknown	64D32289	NZ_FIXE01000046.1	1109	10310	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000046.1&start=1109&end=10310
Streptococcus	Unknown	64D32289	NZ_FIXE01000054.1	0	5750	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FIXE01000054.1&start=0&end=5750
Streptococcus	Unknown	ACA-DC 2	NZ_LT604076.1	94696	118865	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT604076.1&start=94696&end=118865
Streptococcus	Unknown	ACA-DC 2	NZ_LT604076.1	250033	292925	nrps-like	false	asukamycin	4	BGC0000187	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT604076.1&start=250033&end=292925
Streptococcus	Unknown	ACA-DC 2	NZ_LT604076.1	494693	515827	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT604076.1&start=494693&end=515827
Streptococcus	Unknown	ACA-DC 2	NZ_LT604076.1	809263	832491	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT604076.1&start=809263&end=832491
Streptococcus	Unknown	ACA-DC 2	NZ_LT604076.1	1420066	1438197	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT604076.1&start=1420066&end=1438197
Streptococcus	Unknown	A11055407	NZ_JAKUWU010000005.1	154285	187678	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWU010000005.1&start=154285&end=187678
Streptococcus	Unknown	A11055407	NZ_JAKUWU010000006.1	99374	111528	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAKUWU010000006.1&start=99374&end=111528
Streptococcus	Unknown		NZ_CABIZY010000003.1	80144	121311	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CABIZY010000003.1&start=80144&end=121311
Streptococcus	Unknown		NZ_CABIZY010000006.1	3834	22682	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CABIZY010000006.1&start=3834&end=22682
Streptococcus	Unknown		NZ_CABIZY010000007.1	59662	71759	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CABIZY010000007.1&start=59662&end=71759
Streptococcus	Unknown	LPB0404	NZ_CP079821.1	137409	149563	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP079821.1&start=137409&end=149563
Streptococcus	Unknown	LPB0404	NZ_CP079821.1	242983	253151	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP079821.1&start=242983&end=253151
Streptococcus	Unknown	LPB0404	NZ_CP079821.1	1849863	1891042	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP079821.1&start=1849863&end=1891042
Streptococcus	oralis	SN51445	NZ_CP054134.1	362212	374366	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP054134.1&start=362212&end=374366
Streptococcus	oralis	SN51445	NZ_CP054134.1	854200	895373	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP054134.1&start=854200&end=895373
Streptococcus	Unknown	NCTC3858	NZ_LS483397.1	526031	539492	ripp-like	false	ubericin K	62	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483397.1&start=526031&end=539492
Streptococcus	Unknown	NCTC3858	NZ_LS483397.1	781079	822255	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483397.1&start=781079&end=822255
Streptococcus	Unknown	NCTC3858	NZ_LS483397.1	1501341	1511575	ripp-like	false	iturin	22	BGC0001098	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483397.1&start=1501341&end=1511575
Streptococcus	Unknown	NCTC12045	NZ_LS483326.1	203850	216067	ripp-like	false	ubericin K	25	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483326.1&start=203850&end=216067
Streptococcus	Unknown	NCTC12045	NZ_LS483326.1	352297	376064	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483326.1&start=352297&end=376064
Streptococcus	Unknown	NCTC12045	NZ_LS483326.1	472843	514019	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483326.1&start=472843&end=514019
Streptococcus	Unknown	K12452	NZ_CAAHHI010000001.1	532618	573794	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAHHI010000001.1&start=532618&end=573794
Streptococcus	Unknown	K12452	NZ_CAAHHI010000003.1	0	5543	ripp-like	true	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAHHI010000003.1&start=0&end=5543
Streptococcus	Unknown	K12452	NZ_CAAHHI010000003.1	155983	179750	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAHHI010000003.1&start=155983&end=179750
Streptococcus	Unknown	K12452	NZ_CAAHHI010000007.1	0	18313	ripp-like	true	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAHHI010000007.1&start=0&end=18313
Streptococcus	Unknown	emm22.8	NZ_CP035438.1	469358	491401	ripp-like	false	ubericin K	25	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP035438.1&start=469358&end=491401
Streptococcus	Unknown	emm22.8	NZ_CP035438.1	1023227	1064403	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP035438.1&start=1023227&end=1064403
Streptococcus	Unknown	emm22.8	NZ_CP035438.1	1162179	1185946	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP035438.1&start=1162179&end=1185946
Streptococcus	Unknown	EYE_85	NZ_JAHXND010000001.1	758866	800039	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAHXND010000001.1&start=758866&end=800039
Streptococcus	Unknown	EYE_85	NZ_JAHXND010000001.1	1089026	1099209	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAHXND010000001.1&start=1089026&end=1099209
Streptococcus	Unknown	EYE_85	NZ_JAHXND010000003.1	8711	20865	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAHXND010000003.1&start=8711&end=20865
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	105925	119023	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=105925&end=119023
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	168267	188227	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=168267&end=188227
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	210039	234216	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=210039&end=234216
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	545654	559886	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=545654&end=559886
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	683923	694223	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=683923&end=694223
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	1626416	1667589	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=1626416&end=1667589
Streptococcus	Unknown	GPSC54	NZ_LR536833.1	1891837	1902134	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR536833.1&start=1891837&end=1902134
Streptococcus	Unknown	S23	NZ_JALGPU010000001.1	749120	773102	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALGPU010000001.1&start=749120&end=773102
Streptococcus	Unknown	S23	NZ_JALGPU010000001.1	886560	907100	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALGPU010000001.1&start=886560&end=907100
Streptococcus	Unknown	S23	NZ_JALGPU010000003.1	66102	107275	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALGPU010000003.1&start=66102&end=107275
Streptococcus	Unknown	S23	NZ_JALGPU010000003.1	139743	163009	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALGPU010000003.1&start=139743&end=163009
Streptococcus	Unknown	S07-2	NZ_JALDVM010000002.1	299927	341100	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVM010000002.1&start=299927&end=341100
Streptococcus	Unknown	S07-2	NZ_JALDVM010000005.1	151262	163416	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVM010000005.1&start=151262&end=163416
Streptococcus	Unknown	S07-2	NZ_JALDVM010000007.1	31748	48226	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVM010000007.1&start=31748&end=48226
Streptococcus	Unknown	WUSS415	NZ_JAFHCX010000011.1	43204	65678	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAFHCX010000011.1&start=43204&end=65678
Streptococcus	Unknown	WUSS415	NZ_JAFHCX010000012.1	50057	67515	lanthipeptide-class-ii	true	carnolysin A1/carnolysin A2	57	BGC0000500	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAFHCX010000012.1&start=50057&end=67515
Streptococcus	Unknown	WUSS415	NZ_JAFHCX010000005.1	63520	104675	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAFHCX010000005.1&start=63520&end=104675
Streptococcus	Unknown	SMRU3046	NZ_CMKL01000001.1	256388	269487	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMKL01000001.1&start=256388&end=269487
Streptococcus	Unknown	SMRU3046	NZ_CMKL01000004.1	0	21708	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMKL01000004.1&start=0&end=21708
Streptococcus	Unknown	SMRU3046	NZ_CMKL01000005.1	64254	76891	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMKL01000005.1&start=64254&end=76891
Streptococcus	Unknown	SMRU3046	NZ_CMKL01000017.1	0	18962	lanthipeptide-class-ii	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMKL01000017.1&start=0&end=18962
Streptococcus	Unknown	O3-1	NZ_JALDWB010000001.1	47040	88213	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDWB010000001.1&start=47040&end=88213
Streptococcus	Unknown	O3-1	NZ_JALDWB010000004.1	9971	23708	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDWB010000004.1&start=9971&end=23708
Streptococcus	Unknown	MPR4	NZ_FOOP01000001.1	534375	575554	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FOOP01000001.1&start=534375&end=575554
Streptococcus	Unknown	MPR4	NZ_FOOP01000003.1	117815	160008	arylpolyene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FOOP01000003.1&start=117815&end=160008
Streptococcus	Unknown	MPR4	NZ_FOOP01000002.1	109279	121737	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FOOP01000002.1&start=109279&end=121737
Streptococcus	Unknown	SO	NZ_CP046525.1	1242898	1284065	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP046525.1&start=1242898&end=1284065
Streptococcus	Unknown	BIOML-A1	NZ_WMYR01000001.1	214176	255343	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_WMYR01000001.1&start=214176&end=255343
Streptococcus	Unknown	BIOML-A1	NZ_WMYR01000002.1	73876	85973	ripp-like	false	quinolidomicin A	3	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_WMYR01000002.1&start=73876&end=85973
Streptococcus	Unknown	BIOML-A1	NZ_WMYR01000004.1	102271	112472	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_WMYR01000004.1&start=102271&end=112472
Streptococcus	Unknown	BIOML-A1	NZ_WMYR01000004.1	179719	198576	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_WMYR01000004.1&start=179719&end=198576
Streptococcus	Unknown	emm90.5	NZ_CP035444.1	411412	433505	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP035444.1&start=411412&end=433505
Streptococcus	Unknown	emm90.5	NZ_CP035444.1	583155	606922	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP035444.1&start=583155&end=606922
Streptococcus	Unknown	emm90.5	NZ_CP035444.1	703377	744553	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP035444.1&start=703377&end=744553
Streptococcus	Unknown	AM109-95	NZ_JAQDSB010000009.1	20370	61543	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQDSB010000009.1&start=20370&end=61543
Streptococcus	Unknown	AM109-95	NZ_JAQDSB010000011.1	4311	16462	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQDSB010000011.1&start=4311&end=16462
Streptococcus	Unknown	NGAS596	NZ_CP007561.1	915281	939511	lanthipeptide-class-i	false	streptin	90	BGC0000556	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007561.1&start=915281&end=939511
Streptococcus	Unknown	NGAS596	NZ_CP007561.1	1062929	1104105	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007561.1&start=1062929&end=1104105
Streptococcus	Unknown	NGAS596	NZ_CP007561.1	1201931	1225698	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007561.1&start=1201931&end=1225698
